ENTIDADE;CNPJ;E-MAIL;TELEFONE;COMUNIDADE_BENEFICIADA;ENDEREÇO_DOAÇÃO;TIPO_ASSENTAMENTO;SUBPREFEITURA;QTD_CESTAS
FUNDAÇÃO COMUNIDADE DA GRAÇA;1501866000149;fcg@fcg.org.br;1126721200;COMUNIDADE TRÊS COCOS;R. SALVADOR DO VALÊ, 9 - VILA FORMOSA, SÃO PAULO/SP(03362-015);FAVELA;ARICANDUVA;2046
LIGA DAS SENHORAS CATÓLICAS DE SÃO PAULO;60597044000172;diretoria@consultar.com.br;1136758995;COMUNIDADE PDG;AV DOUTOR ARNALDO, 1943, SUMARÉ, SÃO PAULO/SP(01255-000);GRUPO DE MULHERES;BUTANTA;3231
INSTITUTO PILAR - INSTITUTO DE TRANSFORMAÇÃO SOCIAL;5875060000171;contato@institutopilar.org.br;1136622709;CAMPO LIMPO;R BARRA FUNDA, 391, BARRA FUNDA, SÃO PAULO/SP(01152-000);FAVELA;CAMPO LIMPO;4205
MOVIMENTO COMUNITÁRIO DE VILA REMO;47084603000182;adm.mcvr@gmail.com;1158923888;CEU CAPÃO REDONDO;R COMENDADOR FUAD SALEM, 78, JARDIM WANDA, SÃO PAULO/SP(05864-050);FAVELA;CAMPO LIMPO;3474
ASSOCIAÇÃO SANTA CECÍLIA;55641468000157;associacaostacecilia@terra.com.br;1158511941;NEGO LE;R HUMBERTO MIRANDA, 03, JARDIM CRISTÁLIA, SÃO PAULO/SP(05843-250);FAVELA;CAMPO LIMPO;1871
INSTITUTO ANCHIETA GRAJAU;142507000180;comunicação@institutoanchietagrajau.org.br;1159765021;COMUNIDADE VILA DA PAZ;RUA RIO PARAGUAÇU, 39,VILA DA PAZ, SÃO PAULO/SP(04777-048);FAVELA;CAPELA DO SOCORRO;2359
SOCIEDADE AMIGA E ESPORTIVA DO JARDIM COPACABANA - SAEC - ENTRARA EMERGENCIAL COM ALTERAÇÂO DE OSC;52168804000106;contato@saecsp.org.br;1156607243;JARDIM CAPELA;R ANTONIO VICTOR DE OLIVEIRA, 6A, JARDIM COPACABANA, SÃO PAULO/SP(04939-070);FAVELA;CAPELA DO SOCORRO;3923
ASSOCIAÇÃO DOS MORADORES DE VILA ARCO IRIS - AMAI;56098460000159;amaiarcoiris@yahoo.com.br;1159319325;VILA GILDA;R PRESIDENTE ALVES, 254, CONJUNTO HABITACIONAL BRIGADEIRO FARIA LIMA, SÃO PAULO/SP(04840-540);FAVELA;CAPELA DO SOCORRO;2772
CENTRO COMUNITÁRIO JARDIM AUTÓDROMO;57184723000105;ccja@ccja.org.br;1156686943;JARDIM ARACATI;R NOSSA SENHORA APARECIDA, 1, INTERLAGOS, SÃO PAULO/SP(04777-020);FAVELA;CAPELA DO SOCORRO;4993
CENTRO COMUNITÁRIO NOSSA SENHORA APARECIDA - CCNSA;49077829000181;ccnsaparecida@yahoo.com.br;1122585058;CASA VERDE BAIXA;R CONDESSA AMALIA MATARAZ, 13, JARDIM PERI VELHO, SÃO PAULO/SP(02652-000);FAVELA;CASA VERDE;3202
ENTIDADE DE PROMOÇÃO E ASSISTÊNCIA SOCIAL ESPAÇO ABERTO;1525749000115;contato@espacoaberto.org.br;1143052187;JARDIM MIRIAM;R. DIOGO ARIAS, 51 - JARDIM MIRIAM, SÃO PAULO/SP(04473-100);FAVELA;CIDADE ADEMAR;4073
GFWC CRÊ-SER;7376674000134;leme.3@uol.com.br;1150931769;VILA IMPÉRIO;R SALVADOR RODRIGUES NEGRAO, 380, VILA MARARI, SÃO PAULO/SP(04401-160);FAVELA;CIDADE ADEMAR;3767
MOCA - MOVIMENTO DE ORIENTAÇÃO A CRIANÇA E AO ADOLESCENTE;73386070000101;m.o.c.a@uol.com.br;1165842925;PIRATININGA I;R TUJUMIRIM, 179, JARDIM HELENA, SÃO PAULO/SP(08081-180);FAVELA;CIDADE TIRADENTES;2870
CASA DE ASSISTÊNCIA FILADÉLFIA;664464000100;casafiladelfia@uol.com.br;1162800367;OCUPAÇÃO MAX PLANCK;AV ANTONIO FORTUNATO, 627, BURGO PAULISTA, SÃO PAULO/SP(03681-000);OCUPAÇÃO;ERMELINO MATARAZZO;1759
SOCIEDADE DE AMIGOS DE VILA MARA JARDIM MAIA E VILAS ADJACENTES;43220540000193;micarvalho.isabel@gmail.com;1121565647;PARQUE BOTURUSSU;R SALVADOR FERN CARDIA, 27, SÃO MIGUEL PAULISTA, SÃO PAULO/SP(08081-170);FAVELA;ERMELINO MATARAZZO;1420
AÇÃO COMUNITÁRIA TODOS IRMÃOS;47383864000527;contato@acti.org.br;1139835496;DONA LOLA;R. PROFA. MARIA RODRIGUES DE LIMA, 327 - PARQUE BELEM, SÃO PAULO/SP(02849-010);FAVELA;FREGUESIA DO O;1089
ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL - AVIB;1014623000186;avibbrasil.comunica@gmail.com;1139872047;CHABILANDIA/CAIXA D'AGUA;R FRANCISCO GIL DE ARAUJO, 136, GUAIANASES, SÃO PAULO/SP(08452-440);FAVELA;GUAIANASES;3229
PROJETO ESPERANÇA DE SÃO MIGUEL PAULISTA – PROJESP - ENTRARA EMERGENCIAL COM ALTERAÇÂO DE OSC;66856642000103;projesp@projesp.org.br;1129565570;BURACO DO SAPO;TV GUILHERME DE AGUIAR, 41, SÃO MIGUEL PAULISTA, SÃO PAULO/SP(08011-030);FAVELA;GUAIANASES;4019
UNAS - UNIÃO DE NÚCLEOS, ASSOCIAÇÕES DOS MORADORES DE HELIÓPOLIS E REGIÃO;38883732000140;contabil.unas@gmail.com;1122720140;PACHECO CHAVES;R DA MINA, 38, CIDADE NOVA HELIÓPOLIS, SÃO PAULO/SP(04235-460);FAVELA;IPIRANGA;1733
INSTITUTO HUMANIZAÇÃO E DESENVOLVIMENTO INTEGRAL IHDI ;55072474000130;seta@setacontabil.com.br;1131238400;LEVANTA SAIA;R LORD COCKRANE, 505, FUNDOS, IPIRANGA, SÃO PAULO/SP(04213-001);FAVELA;IPIRANGA;2608
CASA DE ISABEL CENTRO DE APOIO À MULHER À CRIANÇA E O ADOLESCENTE VÍTIMAS DE VIOLÊNCIA DOMÉSTICA E SITUAÇÃO DE RISCO;4488578000190;financeirocasadeisabel@hotmail.com;1135782573;UNIÃO DA FERROVIA;R VALENTE DE NOVAIS, 189, ITAIM PAULISTA, SÃO PAULO/SP(08120-420);GRUPO DE MULHERES;ITAIM PAULISTA;3724
CLUBE DE MÃES DO PARQUE SANTA RITA;64027980000107;jrbirolli@yahoo.com.br;1165612488;NÉLIA;AV FERNANDO FIGUEIREDO LINS, 712, SÃO MIGUEL PAULISTA, SÃO PAULO/SP(08150-040);GRUPO DE MULHERES;ITAIM PAULISTA;3661
ASSOCIAÇÃO DE ASSISTÊNCIA SOCIAL ENY VIEIRA MACHADO;15308663000145;edilsoncontabil@santamarcelina.org;1120706255;SÃO JOSÉ;R RIO DO OESTE, 110, ITAQUERA, SÃO PAULO/SP(08290-560);FAVELA;ITAQUERA;2013
AÇÃO COMUNITÁRIA SÃO JOSÉ OPERÁRIO;53494894000180;sasfrh@hotmail.com;1122173732;PEDREIRA I;R DANIEL MONGOLO, 99, ITAQUERA II, SÃO PAULO/SP(08250-580);FAVELA;ITAQUERA;1459
AME;43896505000199;parceria@ameamoroso.org.br;1155880599;MORRO DO PIOLHO;R GODOFREDO BRAGA, 215, VILA FACCHINI, SÃO PAULO/SP(04326-120);FAVELA;JABAQUARA;2578
